run,cluster,start,workload,slack,jobs,fixed_work_gpu_h,week_allocation_gpu_h,cohort_share_of_week_gpu_h,cohort_incremental_gpu_energy_saving_pct,all_gpu_energy_saving_pct,upper_bound_on_cohort_saving_pct,exact_gang_capacity_excess_gpus,max_work_error_gpu_h,max_deadline_or_release_violation_s
Earth_2020-05-04_infer_llama_8b_32g_6,Earth,2020-05-04,infer_llama_8b_32g,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,32.01979488308842,6.177277764805247,35.097311902558125,0.0,5.186961971048731e-10,0.0
Earth_2020-05-04_infer_llama_8b_32g_24,Earth,2020-05-04,infer_llama_8b_32g,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,39.044791313200456,7.532544230565369,39.044791313199845,0.0,5.186961971048731e-10,0.0
Earth_2020-05-04_infer_llama_8b_0,Earth,2020-05-04,infer_llama_8b,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,3.6902482944920725,0.7119248833232262,4.016841837999828,0.0,6.399432095349766e-10,0.0
Earth_2020-05-04_infer_llama_8b_6,Earth,2020-05-04,infer_llama_8b,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,32.00124261487182,6.173698650249406,35.076800027616905,0.0,5.186961971048731e-10,0.0
Earth_2020-05-04_infer_llama_8b_24,Earth,2020-05-04,infer_llama_8b,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,39.02218616443988,7.52818323189818,39.02218616443927,0.0,5.186961971048731e-10,0.0
Earth_2020-05-04_pt_mpt_13b_lg_0,Earth,2020-05-04,pt_mpt_13b_lg,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,2.080130033758708,0.4012999162661054,2.363772121799669,0.0,1.0476952638782677e-11,0.0
Earth_2020-05-04_pt_mpt_13b_lg_6,Earth,2020-05-04,pt_mpt_13b_lg,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,17.35031156279124,3.3472323673716184,20.39562334674521,0.0,3.8760106235713465e-10,0.0
Earth_2020-05-04_pt_mpt_13b_lg_24,Earth,2020-05-04,pt_mpt_13b_lg,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,25.207672180579006,4.863079024464108,26.145339152628544,0.0,3.8760106235713465e-10,0.0
Earth_2020-05-04_pt_mpt_13b_sm_0,Earth,2020-05-04,pt_mpt_13b_sm,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,2.0993220732642985,0.4050024558773684,2.436658402190659,0.0,1.8218093700284044e-11,0.0
Earth_2020-05-04_pt_mpt_13b_sm_6,Earth,2020-05-04,pt_mpt_13b_sm,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,18.018265441736744,3.4760944247143013,21.191489979869544,0.0,3.9466563350742945e-10,0.0
Earth_2020-05-04_pt_mpt_13b_sm_24,Earth,2020-05-04,pt_mpt_13b_sm,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,25.975586937344698,5.011225593471018,27.03873510308021,0.0,3.9466563350742945e-10,0.0
Earth_2020-05-04_pt_mpt_7b_fast_0,Earth,2020-05-04,pt_mpt_7b_fast,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,2.231148971133792,0.43043457897452697,2.515029054985414,0.0,1.3487433392356252e-11,0.0
Earth_2020-05-04_pt_mpt_7b_fast_6,Earth,2020-05-04,pt_mpt_7b_fast,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,19.06823582309133,3.6786553316197796,22.11232356491598,0.0,2.750866201495228e-10,0.0
Earth_2020-05-04_pt_mpt_7b_fast_24,Earth,2020-05-04,pt_mpt_7b_fast,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,26.043625296357366,5.024351593928465,26.807415069192075,0.0,2.750866201495228e-10,0.0
Earth_2020-07-06_ft_llama_8b_dolly_0,Earth,2020-07-06,ft_llama_8b_dolly,0,13815,47701.92555555556,141417.0061111111,0.33731392614885536,2.157220347106722,0.555885667589293,2.563122230181368,0.0,2.0236257114447653e-11,0.0
Earth_2020-07-06_ft_llama_8b_dolly_6,Earth,2020-07-06,ft_llama_8b_dolly,6,13815,47701.92555555556,141417.0061111111,0.33731392614885536,31.999199387158566,8.245748440816802,33.42935483766345,0.0,6.709610644861641e-11,0.0
Earth_2020-07-06_ft_llama_8b_dolly_24,Earth,2020-07-06,ft_llama_8b_dolly,24,13815,47701.92555555556,141417.0061111111,0.33731392614885536,35.65050689560154,9.186639580948537,35.6505068956019,0.0,6.709610644861641e-11,0.0
Earth_2020-07-06_ft_llama_8b_p3_0,Earth,2020-07-06,ft_llama_8b_p3,0,13815,47701.92555555556,141417.0061111111,0.33731392614885536,1.82129878744002,0.46932335572188916,2.193620577498926,0.0,2.2345014727420676e-11,0.0
Earth_2020-07-06_ft_llama_8b_p3_6,Earth,2020-07-06,ft_llama_8b_p3,6,13815,47701.92555555556,141417.0061111111,0.33731392614885536,29.082753008333526,7.49422078882895,30.602579422162307,0.0,5.467937214120866e-11,0.0
Earth_2020-07-06_ft_llama_8b_p3_24,Earth,2020-07-06,ft_llama_8b_p3,24,13815,47701.92555555556,141417.0061111111,0.33731392614885536,33.261611220293574,8.57105440484411,33.52730068178507,0.0,5.467937214120866e-11,0.0
Earth_2020-07-06_infer_llama_8b_48g_0,Earth,2020-07-06,infer_llama_8b_48g,0,13815,47701.92555555556,141417.0061111111,0.33731392614885536,2.244528876577008,0.5783838608109186,2.6569819349452004,0.0,1.6655121726216748e-11,0.0
Earth_2020-07-06_infer_llama_8b_48g_6,Earth,2020-07-06,infer_llama_8b_48g,6,13815,47701.92555555556,141417.0061111111,0.33731392614885536,33.95373415166002,8.749404853963743,35.66507616865758,0.0,6.419043074856745e-11,0.0
Earth_2020-07-06_infer_llama_8b_48g_24,Earth,2020-07-06,infer_llama_8b_48g,24,13815,47701.92555555556,141417.0061111111,0.33731392614885536,38.74583000571916,9.984261277675087,39.01980388691357,0.0,6.419043074856745e-11,0.0
Earth_2020-07-06_infer_llama_8b_32g_0,Earth,2020-07-06,infer_llama_8b_32g,0,13815,47701.92555555556,141417.0061111111,0.33731392614885536,2.244528876577008,0.5783838608109186,2.6569819349452004,0.0,1.6655121726216748e-11,0.0
Earth_2020-07-06_infer_llama_8b_32g_6,Earth,2020-07-06,infer_llama_8b_32g,6,13815,47701.92555555556,141417.0061111111,0.33731392614885536,33.95373415166002,8.749404853963743,35.66507616865756,0.0,6.417621989385225e-11,0.0
Earth_2020-07-06_infer_llama_8b_32g_24,Earth,2020-07-06,infer_llama_8b_32g,24,13815,47701.92555555556,141417.0061111111,0.33731392614885536,38.74583000571916,9.984261277675087,39.01980388691356,0.0,6.417621989385225e-11,0.0
