run,cluster,start,workload,slack,tariff,status,jobs,runtime_s,total_saving,mode_shapley,start_shapley,interaction_saving,mode_share_pct,mode_first,mode_last,start_first,start_last,optimal_mode_share_lower_pct,optimal_mode_share_upper_pct
Earth_infer_llama_8b_32g_0_Guizhou,Earth,2020-04-06,infer_llama_8b_32g,0,Guizhou,constructed_pending_independent_verification,774,0.2970759868621826,1308.3037334041874,539.3531167020956,768.9506167020918,1078.7062334041912,41.225374729972415,0.0,1078.7062334041912,229.59749999999622,1308.3037334041874,41.225374729971875,41.225374729972586
Earth_infer_llama_8b_32g_6_Jiangsu,Earth,2020-04-06,infer_llama_8b_32g,6,Jiangsu,constructed_pending_independent_verification,774,0.6433990001678467,8822.17698086362,6647.768910644627,2174.408070218993,-1155.8917942179141,75.35293074560225,7225.714807753582,6069.823013535672,2752.3539673279483,1596.4621731100378,75.35293074560224,75.35293074560225
Earth_infer_llama_8b_32g_6_Gansu,Earth,2020-04-06,infer_llama_8b_32g,6,Gansu,constructed_pending_independent_verification,774,0.6537261009216309,8401.799644148981,6956.359461644632,1445.4401825043497,-667.5743849912906,82.79606460847998,7290.146654140277,6622.572269148986,1779.227374999995,1111.6529900087044,82.79606460847997,82.79606460847997
Earth_infer_llama_8b_32g_6_Guizhou,Earth,2020-04-06,infer_llama_8b_32g,6,Guizhou,constructed_pending_independent_verification,774,0.6452732086181641,8658.116323968443,6460.837594370891,2197.2787295975522,-1308.5766408048694,74.62174626235063,7115.125914773325,5806.549273968456,2851.567049999987,1542.9904091951175,74.62174626235063,74.62174626235063
Earth_infer_llama_8b_32g_24_Jiangsu,Earth,2020-04-06,infer_llama_8b_32g,24,Jiangsu,constructed_pending_independent_verification,774,0.8281667232513428,12737.290478487368,9710.143942647579,3027.146535839789,-2054.590926910161,76.23398366432417,10737.439406102658,8682.848479192497,4054.4419992948715,1999.8510723847103,76.14341984079626,76.23398366432417
Earth_infer_llama_8b_32g_24_Gansu,Earth,2020-04-06,infer_llama_8b_32g,24,Gansu,constructed_pending_independent_verification,774,0.7408897876739502,12241.215159057288,9799.364666667243,2441.8504923900455,-1938.738265219903,80.05222144483493,10768.733799277194,8829.995534057294,3411.2196249999943,1472.4813597800949,79.73370849553,80.05222144483494
Earth_infer_llama_8b_32g_24_Guizhou,Earth,2020-04-06,infer_llama_8b_32g,24,Guizhou,constructed_pending_independent_verification,774,0.7903130054473877,12526.232538998882,9361.906736412151,3164.325802586731,-2291.2654948264844,74.73840763585545,10507.539483825392,8216.273988998908,4309.958549999974,2018.6930551734895,74.73759823925175,74.73840763585544
Earth_pt_mpt_13b_lg_0_Jiangsu,Earth,2020-04-06,pt_mpt_13b_lg,0,Jiangsu,constructed_pending_independent_verification,774,0.24578094482421875,834.7748985611724,281.70688280823015,553.0680157529423,563.4137656164639,33.74644868859657,0.0,563.4137656164603,271.36113294471215,834.7748985611724,33.746448688595976,33.746448688596686
Earth_pt_mpt_13b_lg_0_Gansu,Earth,2020-04-06,pt_mpt_13b_lg,0,Gansu,constructed_pending_independent_verification,774,0.24802589416503906,697.1510212320354,286.4423856160174,410.708635616018,572.8847712320348,41.087565949455836,0.0,572.8847712320348,124.26625000000058,697.1510212320354,41.08756594945575,41.087565949456106
Earth_pt_mpt_13b_lg_0_Guizhou,Earth,2020-04-06,pt_mpt_13b_lg,0,Guizhou,constructed_pending_independent_verification,774,0.28626203536987305,790.205784902988,280.30414245149586,509.9016424514921,560.6082849029917,35.47229693919645,0.0,560.6082849029917,229.59749999999622,790.205784902988,35.47229693919576,35.47229693919682
