province,idle,weather_year,cost_S0,cost_S0e,cost_S1,cost_S1rt,cost_S2,red_S0_S2_pct,red_S0_S0e_pct,gap_S0e_S2_pct,timing_share_S1,gap_S0_S2_pct,gap_S1_S2_pct,gap_S1rt_S2_pct,co2_S0,co2_S2,curtail_NOAI,curtail_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0
Guizhou,0.41,2022,12979658.506697997,11226538.552007064,11204651.964522168,11119367.76994598,11097274.428356603,14.502570135955528,13.506672411961041,1.1648276744437025,0.16931679778434838,16.962580230794178,0.967602782636301,0.19908799887764506,473095.9945527315,404381.0784417214,0.2616908032225948,0.07930678847975874,0.0,0.0,-0.0
Guizhou,0.41,2023,12701463.460654333,10932069.013538063,10873708.640981048,10775760.48364216,10755644.172661275,15.31964638579385,13.930634470566105,1.6403000884430918,0.3307945313538478,18.091145976537113,1.0976977894068929,0.18703027599238364,462087.12097277027,390941.3285380155,0.244829484514259,0.056113384568443045,0.0,0.0,-0.0
Guizhou,0.41,2024,12067186.752635792,10420067.098893166,10386237.093052343,10262689.503808886,10236321.571876109,15.1722619222726,13.649574565362988,1.7950347273369305,0.18411335715226768,17.885967804977064,1.4645448574820197,0.25759186781726395,437442.3616919732,370546.202071541,0.3230291791805109,0.11491820507034826,0.0,0.0,-0.0
Guizhou,0.25,2015,12789711.70088762,10863761.29306671,10802826.24357088,10716368.87688671,10638110.573898196,16.822905608107654,15.058591255714127,2.121154105336842,0.2700414592976562,20.22540668329411,1.548354555336462,0.7356409998268809,466795.93518505804,388141.80755324615,0.12245023779582113,0.003243074223109503,0.0,0.0,0.0
Guizhou,0.25,2016,12534082.329510361,10692431.844123721,10596519.01325275,10474862.889821395,10415615.903170899,16.90164760886982,14.693141763163952,2.6577011242181925,0.3464859376986436,20.33932938804437,1.736845058070724,0.5688284514453024,457220.1297919275,379741.2710073269,0.18666007746421384,0.020892989940672367,0.0,0.0,0.0
Guizhou,0.25,2017,12043028.088555768,10280937.758606166,10155871.532500178,10031985.870203614,9975211.03744252,17.170241868639746,14.63162185616821,3.0648646932489143,0.4090784921578517,20.729556932195003,1.8110944658668249,0.5691592142560875,438860.4360861685,363257.9997712616,0.2524229300341027,0.04920172478301328,0.0,0.0,-0.0
Guizhou,0.25,2018,12312179.699900895,10480630.31730859,10373739.42296882,10227808.807489261,10181121.440369383,17.308537655185997,14.875914965788295,2.941806349068954,0.35688723296660824,20.931468817193434,1.891913221226127,0.4585680211490084,449092.6685224222,371157.05810343847,0.20800691719006506,0.03551760574401464,0.0,0.0,-0.0
Guizhou,0.25,2019,12663368.897447303,10795429.48165387,10710643.084845722,10603580.649421692,10538088.945827946,16.782895364027283,14.750730480338259,2.4420038315182913,0.32947159504439993,20.167603087661924,1.6374329340434146,0.6214760942938824,462370.6046545231,384695.6537922388,0.14621421796188047,0.016963841592006302,0.0,0.0,0.0
Guizhou,0.25,2020,12040689.647535428,10275379.98711291,10176709.64237322,10057447.982961342,10000609.29077667,16.94321850722509,14.661200579850963,2.7475395583112627,0.35910068306172854,20.399560641172897,1.7608962261825623,0.5683522926657414,437987.59808601486,363396.9560509254,0.291332319878244,0.08984756692984103,0.0,0.0,-0.0
Guizhou,0.25,2021,12174486.186171353,10463831.885068059,10407969.760963187,10303900.956363589,10266557.754719675,15.671531449260169,14.051141665809086,1.921521653717817,0.2831700436657372,18.58391563203916,1.3774042831298905,0.3637363421712392,443605.1390232714,374222.7850970798,0.2694774142195553,0.13090188199331418,0.0,0.0,0.0
Guizhou,0.25,2022,12244154.159536913,10466386.919578016,10426995.165432915,10315237.038225591,10260029.920206383,16.204665618205283,14.519314415640572,2.0112709317272826,0.19089129162107665,19.338386483873137,1.6273368257699428,0.5380795031648233,446350.2808966879,373960.6459503481,0.2616908032225948,0.10055999479069493,0.0,0.0,-0.0
Guizhou,0.25,2023,11955208.130575866,10149016.59636195,10067679.991581142,9918832.470337987,9873634.768016413,17.411435583758305,15.107989041148661,2.789062334344994,0.29535937526985423,21.082138558560803,1.9652866256841817,0.4577615375037203,434943.76097786706,358875.29389938386,0.244829484514259,0.06573234896443829,0.0,0.0,-0.0
Guizhou,0.25,2024,11377217.27882582,9697872.863389894,9609607.581100836,9462025.911186174,9388422.951372802,17.480498778505094,14.760590171388909,3.2960797955086107,0.28523285630852835,21.18347605081223,2.3559295408148495,0.7839757560412108,412457.65658856137,339818.0060288948,0.32154482743703655,0.12602996168801928,0.0,0.0,-0.0
