province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh,deadline_extensions,dropped_share,note
Guizhou,False,0.05,6,S0,68352179.64318192,0.0,0.0,0.0,-0.0,2372439.784104893,0.37160813445265745,188744.74815997362,0.0,0.0,17.0,0.33685200243676333,
Guizhou,False,0.05,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,False,0.05,6,S1,67888304.66547504,0.0,0.0,0.0,-0.0,2355538.2351511195,0.38447711049222294,162541.1633768738,0.0,0.0,17.0,0.33685200243676333,
Guizhou,False,0.05,6,S2,67854953.9405966,0.0,0.0,0.0,0.0,2354324.491101992,0.3887444380515792,163500.56427860982,0.0,0.0,17.0,0.33685200243676333,
Guizhou,False,0.05,24,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.05,24,S0,68352179.64318192,0.0,0.0,0.0,-0.0,2372439.784104893,0.37160813445265745,188744.74815997365,0.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.05,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,False,0.05,24,S1,67735133.21272396,0.0,0.0,0.0,-0.0,2349944.2819244163,0.3852795858858923,151229.40618926976,0.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.05,24,S2,67684386.94739522,0.0,0.0,0.0,-0.0,2348092.5198616064,0.39299384462354603,159319.8700978393,0.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.2,6,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0,17.0,0.33685200243676333,
Guizhou,False,0.2,6,S0,80957190.52493066,0.0,0.0,0.0,-0.0,2831645.4797660685,0.1858799587074984,754978.9926398945,0.0,0.0,17.0,0.33685200243676333,
Guizhou,False,0.2,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,False,0.2,6,S1,78532184.6677366,0.0,0.0,0.0,-0.0,2743521.954947646,0.230259402125438,650164.6535074952,0.0,0.0,17.0,0.33685200243676333,
Guizhou,False,0.2,6,S2,78253356.05616413,0.0,0.0,0.0,-0.0,2733091.8171421136,0.19552144701611676,654527.4600227441,0.0,0.0,17.0,0.33685200243676333,
Guizhou,False,0.2,24,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.2,24,S0,80957190.52493066,0.0,0.0,0.0,-0.0,2831645.4797660685,0.18587995870749838,754978.9926398946,0.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.2,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,False,0.2,24,S1,77784285.23068854,0.0,0.0,0.0,-0.0,2716608.0629170598,0.27996896394294785,604917.6247570791,0.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.2,24,S2,77393203.6598166,0.0,0.0,0.0,-0.0,2701990.5643516025,0.22155915844213855,629314.2687835437,0.0,0.0,0.0,0.3368520024367635,
