province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh
Gansu,False,0.2,24,S2,160912006.96690586,0.0,0.0,0.0,-0.0,5560807.360420953,0.0,340359.48865105654,0.0,0.0
Gansu,False,0.2,72,NOAI,151314900.77933595,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0
Gansu,False,0.2,72,S0,165764402.0588819,0.0,0.0,0.0,-0.0,5738111.426113792,0.0,512448.72888233804,0.0,0.0
Gansu,False,0.2,72,S0b,161108811.79784963,0.0,0.0,0.0,-0.0,5567998.509536583,0.0,347339.1333809276,0.0,0.0
Gansu,False,0.2,72,S1,161407258.7545162,0.0,0.0,0.0,-0.0,5578903.610586191,0.0,357923.49616437376,0.0,0.0
Gansu,False,0.2,72,S2,160912006.96690595,0.0,0.0,0.0,-0.0,5560807.360420951,0.0,340359.48865105666,0.0,0.0
Jiangsu,True,0.05,6,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
Jiangsu,True,0.05,6,S0,458641502.25738585,0.0,0.0,0.0,-0.0,16239819.814161578,0.0,714980.1681522322,3708286.8503343537,0.0
Jiangsu,True,0.05,6,S0b,452027864.37621486,0.0,0.0,0.0,-0.0,16004405.844330272,0.0,484615.49027974484,3770775.12801247,0.0
Jiangsu,True,0.05,6,S1,452434610.27197045,0.0,0.0,0.0,-0.0,16019778.841800269,0.0,499383.0349260113,3775885.322656393,0.0
Jiangsu,True,0.05,6,S2,451729648.6304638,0.0,0.0,0.0,-0.0,15994759.186713345,0.0,474877.3305744997,3783282.705090437,0.0
Jiangsu,True,0.05,24,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
Jiangsu,True,0.05,24,S0,458641502.25738585,0.0,0.0,0.0,-0.0,16239819.814161578,0.0,714980.1681522322,3708286.8503343537,0.0
Jiangsu,True,0.05,24,S0b,452027864.37621486,0.0,0.0,0.0,-0.0,16004405.844330272,0.0,484615.49027974484,3770775.12801247,0.0
Jiangsu,True,0.05,24,S1,452434514.46531177,0.0,0.0,0.0,-0.0,16019780.409298224,0.0,499383.0349260113,3775936.035825668,0.0
Jiangsu,True,0.05,24,S2,451729648.6304635,0.0,0.0,0.0,-0.0,15994759.186713355,0.0,474877.3305744997,3783282.705090437,0.0
Jiangsu,True,0.05,72,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
Jiangsu,True,0.05,72,S0,458641502.25738585,0.0,0.0,0.0,-0.0,16239819.814161578,0.0,714980.1681522322,3708286.8503343537,0.0
Jiangsu,True,0.05,72,S0b,452027864.37621486,0.0,0.0,0.0,-0.0,16004405.844330272,0.0,484615.49027974484,3770775.12801247,0.0
Jiangsu,True,0.05,72,S1,452434610.27197057,0.0,0.0,0.0,-0.0,16019778.841800265,0.0,499383.0349260113,3775885.322656393,0.0
Jiangsu,True,0.05,72,S2,451729648.63046336,0.0,0.0,0.0,-0.0,15994759.186713353,0.0,474877.3305744997,3783282.705090437,0.0
Jiangsu,True,0.2,6,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
Jiangsu,True,0.2,6,S0,520964585.10632545,0.0,0.0,0.0,-0.0,18425148.120386485,0.0,2859920.6726089288,2851210.123897697,60858.05378182113
Jiangsu,True,0.2,6,S0b,493985289.5305027,0.0,0.0,0.0,-0.0,17486807.930766866,0.0,1938461.9611189794,3266418.9895332707,2874.6128655031503
Jiangsu,True,0.2,6,S1,495670581.54852134,0.0,0.0,0.0,-0.0,17547638.643409256,0.0,1997532.1397040451,3262244.7474868,6095.369917647824
Jiangsu,True,0.2,6,S2,492822890.70743626,0.0,0.0,0.0,-0.0,17447461.622702397,0.0,1899509.3222979987,3294746.106110667,0.0
Jiangsu,True,0.2,24,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
