workload,tariff_assumption,deadline_window_h_assumption,utilization_assumption,idle_power_ratio_assumption,max_response_fraction,commitment_MW,minimum_cost_CNY_scenario,outside_option_cost_CNY_scenario,opportunity_cost_CNY_scenario,marginal_cost_CNY_per_MW_event_scenario,is_measured_tariff,is_market_equilibrium,maximum_work_error
infer_llama_8b_48g,event_cheap,1,0.9,0.2,0.0,0.0,86.37717000000004,86.37717000000004,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_cheap,1,0.9,0.2,0.25,0.0008912287499999993,86.37717000000004,86.37717000000004,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_cheap,1,0.9,0.2,0.5,0.0017824574999999985,86.37717000000004,86.37717000000004,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_cheap,1,0.9,0.2,0.75,0.002673686249999998,86.37717000000004,86.37717000000004,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_cheap,1,0.9,0.2,1.0,0.003564914999999997,86.37717000000004,86.37717000000004,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_cheap,4,0.9,0.2,0.0,0.0,83.69723593661973,83.37049250000004,0.32674343661969374,230.98591549295924,False,False,3.3306690738754696e-16
infer_llama_8b_48g,event_cheap,4,0.9,0.2,0.25,0.0018304516216216225,84.54139366789053,83.37049250000004,1.1709011678904915,504.40967283072507,False,False,5.551115123125783e-16
infer_llama_8b_48g,event_cheap,4,0.9,0.2,0.5,0.003660903243243245,86.6075417837838,83.37049250000004,3.2370492837837617,2400.000000000002,False,False,3.3306690738754696e-16
infer_llama_8b_48g,event_cheap,4,0.9,0.2,0.75,0.005491354864864868,92.38222225937346,83.37049250000004,9.011729759373424,4734.7480106100575,False,False,6.661338147750939e-16
infer_llama_8b_48g,event_cheap,4,0.9,0.2,1.0,0.00732180648648649,107.65774005405407,83.37049250000004,24.287247554054034,22624.692954104197,False,False,1.887379141862766e-15
infer_llama_8b_48g,event_cheap,8,0.9,0.2,0.0,0.0,83.69723593661973,83.37049250000003,0.32674343661970795,230.98591549295617,False,False,3.3306690738754696e-16
infer_llama_8b_48g,event_cheap,8,0.9,0.2,0.25,0.0018304516216216217,84.54139366789053,83.37049250000003,1.1709011678905057,504.4096728307286,False,False,6.661338147750939e-16
infer_llama_8b_48g,event_cheap,8,0.9,0.2,0.5,0.0036609032432432433,86.60754178378382,83.37049250000003,3.23704928378379,2399.9999999999873,False,False,6.661338147750939e-16
infer_llama_8b_48g,event_cheap,8,0.9,0.2,0.75,0.005491354864864865,92.38222225937345,83.37049250000003,9.011729759373424,4734.7480106100575,False,False,4.107825191113079e-15
infer_llama_8b_48g,event_cheap,8,0.9,0.2,1.0,0.007321806486486487,107.65774005405402,83.37049250000003,24.28724755405399,22624.69295410498,False,False,2.120525977034049e-14
infer_llama_8b_48g,event_expensive,1,0.9,0.2,0.0,0.0,95.26893750000005,95.26893750000005,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_expensive,1,0.9,0.2,0.25,0.0008912287499999993,95.26893750000005,95.26893750000005,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_expensive,1,0.9,0.2,0.5,0.0017824574999999985,95.26893750000005,95.26893750000005,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_expensive,1,0.9,0.2,0.75,0.002673686249999998,95.26893750000005,95.26893750000005,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_expensive,1,0.9,0.2,1.0,0.003564914999999997,95.26893750000005,95.26893750000005,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,event_expensive,4,0.9,0.2,0.0,0.0,82.56264,82.56264000000002,-1.4210854715202004e-14,-0.0,False,False,1.887379141862766e-15
infer_llama_8b_48g,event_expensive,4,0.9,0.2,0.25,0.0018304516216216225,82.56264,82.56264000000002,-1.4210854715202004e-14,-0.0,False,False,1.887379141862766e-15
infer_llama_8b_48g,event_expensive,4,0.9,0.2,0.5,0.003660903243243245,82.56264,82.56264000000002,-1.4210854715202004e-14,-0.0,False,False,1.887379141862766e-15
infer_llama_8b_48g,event_expensive,4,0.9,0.2,0.75,0.005491354864864868,82.56264,82.56264000000002,-1.4210854715202004e-14,-0.0,False,False,1.887379141862766e-15
infer_llama_8b_48g,event_expensive,4,0.9,0.2,1.0,0.00732180648648649,83.34240081081083,82.56264000000002,0.7797608108108136,2271.5740142210557,False,False,4.773959005888173e-15
infer_llama_8b_48g,event_expensive,8,0.9,0.2,0.0,0.0,82.56264000000002,82.56264000000002,0.0,-0.0,False,False,1.9984014443252818e-15
infer_llama_8b_48g,event_expensive,8,0.9,0.2,0.25,0.0018304516216216217,82.56264000000002,82.56264000000002,0.0,-0.0,False,False,1.9984014443252818e-15
infer_llama_8b_48g,event_expensive,8,0.9,0.2,0.5,0.0036609032432432433,82.56264000000002,82.56264000000002,0.0,-0.0,False,False,1.9984014443252818e-15
infer_llama_8b_48g,event_expensive,8,0.9,0.2,0.75,0.005491354864864865,82.56264000000002,82.56264000000002,0.0,-0.0,False,False,1.9984014443252818e-15
