GEM unit/phase ID,Plant / Project name,province,technology,capacity_mw,Status,start,retired,included_2030,selection_reason
G100000600901,Jinxi hydroelectric plant,Sichuan,run-of-river,150.0,operating,1997.0,,True,operating_or_construction_start_by_2030
G100000600902,Jinyuan hydroelectric plant,Sichuan,run-of-river,100.0,operating,,,False,unknown_start_year_not_imputed
G100000600903,Jinyun hydroelectric plant,Zhejiang,pumped storage,1500.0,construction,2025.0,,True,operating_or_construction_start_by_2030
G100001051226,Jinyun hydroelectric plant,Zhejiang,pumped storage,300.0,operating,2024.0,,True,operating_or_construction_start_by_2030
G100000600904,Jinzhai hydroelectric plant,Anhui,pumped storage,1200.0,operating,2022.0,,True,operating_or_construction_start_by_2030
G100000600905,Jinzixian hydroelectric plant,Hunan,pumped storage,1200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600906,Jisha hydroelectric plant,Yunnan,conventional storage,120.0,operating,2008.0,,True,operating_or_construction_start_by_2030
G100000600907,Jishixia hydroelectric plant,Qinghai,conventional storage,1020.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100000600908,Jiudianxia hydroelectric plant,Gansu,conventional storage,300.0,operating,2008.0,,True,operating_or_construction_start_by_2030
G100000600909,Jiufengshan hydroelectric plant,Henan,pumped storage,2100.0,construction,2030.0,,True,operating_or_construction_start_by_2030
G100000604182,Jiugongshan Pumped Storage hydroelectric plant,Hebei,pumped storage,1200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604471,Jiulongxia hydroelectric plant,Gansu,conventional storage,81.0,operating,2016.0,,True,operating_or_construction_start_by_2030
G100000600910,Jiulongzhang hydroelectric plant,Guangdong,pumped storage,1800.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600911,Jixi hydroelectric plant,Anhui,pumped storage,1800.0,operating,2020.0,,True,operating_or_construction_start_by_2030
G100000600912,Jiyu hydroelectric plant,Sichuan,conventional storage,102.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600913,Jufudu hydroelectric plant,Yunnan,conventional storage,285.0,operating,2008.0,,True,operating_or_construction_start_by_2030
G100001048110,Julongtan hydroelectric plant,Jiangxi,conventional storage,60.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100001027878,Jurong hydroelectric plant,Jiangsu,pumped storage,675.0,operating,2024.0,,True,operating_or_construction_start_by_2030
G100000600914,Jurong hydroelectric plant,Jiangsu,pumped storage,675.0,construction,2025.0,,True,operating_or_construction_start_by_2030
G100000600915,Kagong hydroelectric plant,Tibet,conventional storage,240.0,announced,,,False,unknown_start_year_not_imputed
G100001051057,Kaijianqiao hydroelectric plant,Sichuan,run-of-river,48.0,operating,,,False,unknown_start_year_not_imputed
G100001051225,Kaitan hydroelectric plant,Zhejiang,conventional storage,48.0,operating,,,False,unknown_start_year_not_imputed
G100000600916,Kajiwa hydroelectric plant,Sichuan,conventional storage,452.0,operating,2015.0,,True,operating_or_construction_start_by_2030
G100000600917,Kala hydroelectric plant,Sichuan,conventional storage,1020.0,construction,2029.0,,True,operating_or_construction_start_by_2030
G100000600918,Kalasuke hydroelectric plant,Xinjiang,conventional storage,140.0,operating,2008.0,,True,operating_or_construction_start_by_2030
G100000600919,Kangyang hydroelectric plant,Qinghai,conventional storage,285.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600920,Kecheng hydroelectric plant,Zhejiang,pumped storage,1200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100001051069,Kehe hydroelectric plant,Sichuan,conventional storage,72.0,operating,2005.0,,True,operating_or_construction_start_by_2030
G100000600921,Kesaiyi hydroelectric plant,Xinjiang,conventional storage,100.0,operating,2017.0,,True,operating_or_construction_start_by_2030
G100000600922,Ketian hydroelectric plant,Yunnan,conventional storage,99.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600923,Koktokay hydroelectric plant,Xinjiang,conventional storage,65.0,operating,1976.0,,True,operating_or_construction_start_by_2030
G100000600924,Kushitayi hydroelectric plant,Xinjiang,conventional storage,100.0,operating,2012.0,,True,operating_or_construction_start_by_2030
G100000604536,Laibin hydroelectric plant,Guangxi,pumped storage,1200.0,construction,,,False,unknown_start_year_not_imputed
G100001031352,Lalang hydroelectric plant,Guangxi,conventional and run-of-river,51.0,operating,1971.0,,True,operating_or_construction_start_by_2030
G100000600926,Lalashan hydroelectric plant,Sichuan,conventional storage,96.0,operating,2014.0,,True,operating_or_construction_start_by_2030
G100000600927,Lanfu County hydroelectric plant,Shaanxi,pumped storage,800.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600928,Langjiang hydroelectric plant,Guangdong,pumped storage,1200.0,construction,2025.0,,True,operating_or_construction_start_by_2030
G100001051221,Langwai River hydroelectric plant,Yunnan,run-of-river,45.0,operating,2008.0,,True,operating_or_construction_start_by_2030
G100000600929,Langyashan hydroelectric plant,Anhui,pumped storage,600.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600930,Langzhen hydroelectric plant,Tibet,run-of-river,340.0,announced,,,False,unknown_start_year_not_imputed
G100000600931,Laodukou hydroelectric plant,Hubei,conventional storage,90.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600932,Laohuzui hydroelectric plant,Tibet,conventional storage,102.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100000600933,Laojiangdi hydroelectric plant,Guizhou,conventional storage,100.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100000600934,Laoyingyan Stage 1 hydroelectric plant,Sichuan,conventional storage,300.0,pre-construction,2030.0,,False,excluded_status_or_vintage
G100000600935,Laoyingyan Stage 2 hydroelectric plant,Sichuan,conventional storage,420.0,construction,2029.0,,True,operating_or_construction_start_by_2030
G100001051197,Laqi hydroelectric plant,Yunnan,conventional storage,50.0,operating,2008.0,,True,operating_or_construction_start_by_2030
G100000600936,Lawa hydroelectric plant,Sichuan,conventional storage,2000.0,construction,,,False,unknown_start_year_not_imputed
G100000600937,Laxiwa hydroelectric plant,Qinghai,conventional storage,4200.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100000600938,Lazhai hydroelectric plant,Yunnan,conventional storage,120.0,operating,2008.0,,True,operating_or_construction_start_by_2030
G100001051187,Lazhuang hydroelectric plant,Yunnan,conventional storage,60.0,operating,1992.0,,True,operating_or_construction_start_by_2030
G100000600939,Lechangxia hydroelectric plant,Guangdong,conventional storage,132.0,operating,2013.0,,True,operating_or_construction_start_by_2030
G100000600940,Leidatan hydroelectric plant,Yunnan,conventional storage,108.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600941,Lengda hydroelectric plant,Tibet,conventional storage,320.0,pre-construction,2025.0,,False,excluded_status_or_vintage
G100000600942,Lenggu hydroelectric plant,Sichuan,conventional storage,2575.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600943,Lengzhuquan hydroelectric plant,Sichuan,run-of-river,180.0,operating,2001.0,,True,operating_or_construction_start_by_2030
G100000600944,Letan hydroelectric plant,Guangxi,conventional storage,600.0,operating,2005.0,,True,operating_or_construction_start_by_2030
G100000600945,Leyuan hydroelectric plant,Sichuan,pumped storage,298.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600946,Lianbu hydroelectric plant,Sichuan,conventional storage,130.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600947,Liancheng County hydroelectric plant,Fujian,pumped storage,1400.0,pre-construction,,,False,unknown_start_year_not_imputed
G100001027180,Liangfengke hydroelectric plant,Gansu,run-of-river,52.0,operating,2016.0,,True,operating_or_construction_start_by_2030
G100000600949,Lianghekou hydroelectric plant,Sichuan,pumped storage,1200.0,construction,,,False,unknown_start_year_not_imputed
G100000600948,Lianghekou hydroelectric plant,Sichuan,conventional storage,3000.0,operating,2023.0,,True,operating_or_construction_start_by_2030
