province,technology_group,grid_lat,grid_lon,capacity_mw,unit_count,near_boundary_review_mw,assumed_pv_mw,known_pre2020_survivor_mw,unit_ids
Gansu,wind_onshore,40.25,97.0,607.0,10,0.0,0.0,542.9,G100000904462;G100000904466;G100000904467;G100000904470;G100000904471;G100000904472;G100000904486;G100001027737;G100001027740;G100001027742
Gansu,wind_onshore,40.25,97.25,179.0,4,0.0,0.0,179.0,G100000904461;G100000904479;G100000904484;G100000904485
Gansu,wind_onshore,40.5,93.75,200.0,1,0.0,0.0,0.0,G100001030259
Gansu,wind_onshore,40.5,95.75,351.0,3,0.0,0.0,251.0,G100000904427;G100000904435;G100000921522
Gansu,wind_onshore,40.5,96.0,50.0,1,0.0,0.0,50.0,G100000904436
Gansu,wind_onshore,40.5,96.75,403.0,2,0.0,0.0,403.0,G100000904448;G100000904449
Gansu,wind_onshore,40.5,97.25,801.0,3,0.0,0.0,400.0,G100000904477;G100000904478;G100000904481
Gansu,wind_onshore,40.5,97.5,200.0,1,0.0,0.0,0.0,G100000923590
Gansu,wind_onshore,40.75,95.25,497.0,4,0.0,0.0,497.0,G100000904440;G100000904444;G100000904445;G100000904446
Gansu,wind_onshore,40.75,95.5,1304.0,8,0.0,0.0,1304.0,G100000904423;G100000904424;G100000904437;G100000904438;G100000904439;G100000904441;G100000904442;G100000904443
Gansu,wind_onshore,40.75,95.75,502.0,4,0.0,0.0,502.0,G100000904425;G100000904426;G100000904430;G100000904431
Gansu,wind_onshore,40.75,96.0,200.0,1,0.0,0.0,200.0,G100000904434
Gansu,wind_onshore,40.75,96.25,1474.0,7,0.0,0.0,1003.0,G100000904405;G100000904409;G100000904413;G100000904416;G100000904428;G100000904429;G100000923553
Gansu,wind_onshore,40.75,96.5,402.0,2,0.0,0.0,402.0,G100000904415;G100000904422
Gansu,wind_onshore,40.75,96.75,200.0,1,0.0,0.0,200.0,G100000904420
Gansu,wind_onshore,40.75,97.0,148.0,2,0.0,0.0,148.0,G100000904450;G100000904452
Gansu,wind_onshore,40.75,97.75,200.0,1,0.0,0.0,0.0,G100000923587
Gansu,wind_onshore,41.0,95.5,1800.0,2,0.0,0.0,50.0,G100000904447;G100001000856
Gansu,wind_onshore,41.0,96.0,400.0,2,0.0,0.0,0.0,G100000923554;G100000923555
Gansu,wind_onshore,41.25,97.0,455.0,3,0.0,0.0,0.0,G100001000769;G100001000773;G100001000775
Gansu,wind_onshore,41.5,95.25,400.0,1,0.0,0.0,0.0,G100000923556
Gansu,wind_onshore,41.5,97.0,300.0,1,0.0,0.0,0.0,G100001000776
Gansu,wind_onshore,41.75,97.0,502.0,5,0.0,0.0,50.0,G100000904455;G100000904460;G100000923577;G100000923579;G100001000778
Guizhou,solar_pv,24.75,104.75,100.0,1,0.0,0.0,0.0,G100000812341
Guizhou,solar_pv,24.75,105.75,90.0,1,90.0,0.0,90.0,G100000812120
Guizhou,solar_pv,25.0,104.75,90.0,2,0.0,0.0,40.0,G100000812324;G100000831802
Guizhou,solar_pv,25.0,105.25,135.0,3,0.0,0.0,0.0,G100000812100;G100000812107;G100000812110
Guizhou,solar_pv,25.0,105.5,110.0,3,0.0,0.0,110.0,G100000812108;G100000812109;G100000832312
Guizhou,solar_pv,25.0,105.75,90.0,3,0.0,0.0,0.0,G100000812122;G100000812125;G100000812126
Guizhou,solar_pv,25.0,106.25,100.0,1,0.0,0.0,0.0,G100000812272
Guizhou,solar_pv,25.0,106.5,30.0,1,30.0,0.0,0.0,G100000831787
Guizhou,solar_pv,25.25,104.75,330.0,4,110.0,0.0,70.0,G100000812330;G100000812331;G100000812336;G100000812339
Guizhou,solar_pv,25.25,105.0,335.0,7,0.0,0.0,215.0,G100000812236;G100000812237;G100000812238;G100000812320;G100000812328;G100000812335;G100000812340
Guizhou,solar_pv,25.25,105.25,200.0,3,0.0,0.0,100.0,G100000812111;G100000812317;G100001006720
Guizhou,solar_pv,25.25,105.5,505.0,7,0.0,0.0,60.0,G100000812102;G100000812103;G100000812104;G100000812105;G100000812106;G100000812112;G100000812113
Guizhou,solar_pv,25.25,106.0,70.0,2,0.0,0.0,0.0,G100000812274;G100000812275
Guizhou,solar_pv,25.25,106.5,270.0,4,0.0,0.0,40.0,G100000812193;G100000812195;G100000831755;G100001006821
Guizhou,solar_pv,25.25,107.5,300.0,2,300.0,0.0,0.0,G100000812128;G100000812130
Guizhou,solar_pv,25.5,104.5,30.0,1,30.0,0.0,30.0,G100000812224
Guizhou,solar_pv,25.5,104.75,250.0,4,250.0,0.0,250.0,G100000802211;G100000802212;G100000802213;G100000831767
Guizhou,solar_pv,25.5,105.0,430.0,6,0.0,0.0,310.0,G100000812239;G100000812240;G100000812241;G100000812242;G100000812243;G100000812244
Guizhou,solar_pv,25.5,105.25,30.0,1,0.0,0.0,30.0,G100000812321
Guizhou,solar_pv,25.5,105.5,520.0,11,0.0,0.0,260.0,G100000812118;G100000812338;G100000812344;G100000812345;G100000812346;G100000812348;G100000812349;G100000812350;G100000812351;G100000812352;G100000831798
Guizhou,solar_pv,25.5,106.0,200.0,2,0.0,0.0,0.0,G100000812357;G100000831788
Guizhou,solar_pv,25.5,106.5,80.0,1,0.0,0.0,0.0,G100000812199
Guizhou,solar_pv,25.5,106.75,250.0,3,0.0,0.0,0.0,G100000812191;G100000812198;G100000812200
Guizhou,solar_pv,25.5,107.0,125.5,2,0.0,0.0,0.0,G100000812196;G100000812197
Guizhou,solar_pv,25.5,107.5,180.0,3,0.0,0.0,30.0,G100000812129;G100000812133;G100000812135
Guizhou,solar_pv,25.5,107.75,300.0,2,0.0,0.0,0.0,G100000812179;G100000812180
Guizhou,solar_pv,25.5,108.0,400.0,3,0.0,0.0,0.0,G100000812182;G100000812183;G100001006752
Guizhou,solar_pv,25.75,104.25,50.0,1,50.0,0.0,50.0,G100000812216
Guizhou,solar_pv,25.75,104.5,86.6,2,0.0,0.0,0.0,G100000830227;G100000831766
Guizhou,solar_pv,25.75,105.0,50.0,1,0.0,0.0,0.0,G100000812235
Guizhou,solar_pv,25.75,105.25,320.0,4,0.0,0.0,80.0,G100000802853;G100000812251;G100000812252;G100000812255
Guizhou,solar_pv,25.75,105.5,1050.0,9,0.0,0.0,150.0,G100000803620;G100000812115;G100000812116;G100000812149;G100000812150;G100000812154;G100000812157;G100000812159;G100000812160
Guizhou,solar_pv,25.75,106.0,450.0,4,0.0,0.0,0.0,G100000812358;G100000812363;G100000812364;G100000812365
Guizhou,solar_pv,25.75,106.5,100.0,1,0.0,0.0,0.0,G100000831719
Guizhou,solar_pv,25.75,107.0,100.0,1,0.0,0.0,0.0,G100000812227
Guizhou,solar_pv,25.75,107.5,25.0,1,0.0,0.0,25.0,G100000812134
Guizhou,solar_pv,25.75,108.0,80.0,1,0.0,0.0,0.0,G100000812263
Guizhou,solar_pv,26.0,104.5,100.0,1,0.0,0.0,0.0,G100000831765
Guizhou,solar_pv,26.0,105.25,1340.0,8,0.0,0.0,660.0,G100000802207;G100000812145;G100000812147;G100000812152;G100000812158;G100000830226;G100000831723;G100000831730
Guizhou,solar_pv,26.0,105.5,1680.0,9,0.0,0.0,0.0,G100000812146;G100000812153;G100000812354;G100000831710;G100000831724;G100000831728;G100000831729;G100000831731;G100000831732
Guizhou,solar_pv,26.0,105.75,150.0,1,0.0,0.0,0.0,G100000812356
Guizhou,solar_pv,26.0,106.0,100.0,1,0.0,0.0,100.0,G100000812347
Guizhou,solar_pv,26.0,107.0,200.0,1,0.0,0.0,0.0,G100000812228
Guizhou,solar_pv,26.0,107.5,50.0,1,0.0,0.0,0.0,G100000812132
Guizhou,solar_pv,26.0,108.75,100.0,1,0.0,0.0,0.0,G100000812185
Guizhou,solar_pv,26.25,104.5,40.0,1,40.0,0.0,0.0,G100001005404
Guizhou,solar_pv,26.25,105.5,130.0,2,0.0,0.0,0.0,G100000812187;G100000831748
Guizhou,solar_pv,26.25,105.75,130.0,2,0.0,0.0,30.0,G100000812355;G100000831749
Guizhou,solar_pv,26.25,106.0,250.0,1,0.0,0.0,0.0,G100000831807
Guizhou,solar_pv,26.25,107.0,50.0,1,0.0,0.0,0.0,G100000812177
Guizhou,solar_pv,26.25,107.25,250.0,2,0.0,0.0,0.0,G100000831733;G100001020360
Guizhou,solar_pv,26.25,107.5,200.0,2,0.0,0.0,0.0,G100000812194;G100000812234
Guizhou,solar_pv,26.5,104.75,360.0,4,0.0,0.0,0.0,G100000812190;G100000812265;G100000812266;G100000830228
