GEM unit/phase ID,province_source_label,Plant / Project name,Unit / Phase name,capacity_numeric_MW,Status,Start year,Retired year,Technology,Fuel,CHP,Captive Industry Type,Captive Industry Use,Captive Non Industry Use,candidate_category,legacy_mapping,admission,stage34_event_refs,stage34_correspondence,stage34_original_fields_changed,stage34_dispatch_admitted
G100000412357,Jiangsu,"Jiangsu Lihuai Iron & Steel Co., Ltd. power project",1,80.0,operating,2018,,steam turbine,industrial by-product: blast furnace gas,not found,iron & steel,power,,INDUSTRIAL_BYPRODUCT_REQUIRES_PROCESS_AND_EXPORT_BOUNDARY,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000412356,Jiangsu,"Jiangsu Province Binxin Steel Group Co., Ltd. power project",1,80.0,operating,2019,,steam turbine,industrial by-product: blast furnace gas,not found,iron & steel,power,,INDUSTRIAL_BYPRODUCT_REQUIRES_PROCESS_AND_EXPORT_BOUNDARY,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000412355,Jiangsu,"Jiangsu Province Binxin Steel Group Co., Ltd. power project",2,80.0,operating,2019,,steam turbine,industrial by-product: blast furnace gas,not found,iron & steel,power,,INDUSTRIAL_BYPRODUCT_REQUIRES_PROCESS_AND_EXPORT_BOUNDARY,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000412354,Jiangsu,"Jiangsu Province Binxin Steel Group Co., Ltd. power project",3,150.0,operating,2023,,steam turbine,industrial by-product: blast furnace gas,not found,iron & steel,power,,INDUSTRIAL_BYPRODUCT_REQUIRES_PROCESS_AND_EXPORT_BOUNDARY,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405595,Jiangsu,Jiangsu Zhenjiang Gas Thermal power station,1,475.0,operating,2021,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405596,Jiangsu,Jiangsu Zhenjiang Gas Thermal power station,2,475.0,operating,2021,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405602,Jiangsu,Jiangyin Cogen power station,2025-01-01 00:00:00,100.0,operating,2022,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405603,Jiangsu,Jiangyin Cogen power station,2025-02-01 00:00:00,100.0,operating,2022,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405196,Gansu,Jiugang Group Captive Gas power station,1,180.0,operating,2019,,combined cycle,fossil gas: natural gas,yes,"aluminum, industrial park, iron & steel",power,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405555,Jiangsu,Nanjing Liuhe District Yangba power station,1,52.0,operating,2005,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405830,Jiangsu,Nanjing Liuhe District Yangba power station,2,52.0,operating,2005,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405831,Jiangsu,Nanjing Liuhe District Yangba power station,3,52.0,operating,2005,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000412574,Jiangsu,"Nanjing Nangang Industrial Development Co., Ltd. power project",5,120.0,operating,2020,,steam turbine,industrial by-product: blast furnace gas,not found,iron & steel,power,,INDUSTRIAL_BYPRODUCT_REQUIRES_PROCESS_AND_EXPORT_BOUNDARY,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000412573,Jiangsu,"Nanjing Nangang Industrial Development Co., Ltd. power project",6,120.0,operating,2022,,steam turbine,industrial by-product: blast furnace gas,not found,iron & steel,power,,INDUSTRIAL_BYPRODUCT_REQUIRES_PROCESS_AND_EXPORT_BOUNDARY,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405491,Jiangsu,SPIC Changshu Thermal power station,1,100.0,operating,2022,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
